company_id,company_name,status,output_file,error
ABB,Abbott India Ltd,Success,output/reports/ABB_tearsheet.pdf,
ADANIENSOL,Adani Energy Solutions Ltd,Success,output/reports/ADANIENSOL_tearsheet.pdf,
ADANIENT,Adani Enterprises Ltd,Success,output/reports/ADANIENT_tearsheet.pdf,
ADANIGREEN,Adani Green Energy Ltd,Success,output/reports/ADANIGREEN_tearsheet.pdf,
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Success,output/reports/ADANIPORTS_tearsheet.pdf,
ADANIPOWER,Adani Power Ltd,Success,output/reports/ADANIPOWER_tearsheet.pdf,
ATGL,Adani Total Gas Ltd,Success,output/reports/ATGL_tearsheet.pdf,
AMBUJACEM,Ambuja Cements Ltd,Success,output/reports/AMBUJACEM_tearsheet.pdf,
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Success,output/reports/APOLLOHOSP_tearsheet.pdf,
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Success,output/reports/ASIANPAINT_tearsheet.pdf,
DMART,Avenue Supermarts Ltd,Success,output/reports/DMART_tearsheet.pdf,
AXISBANK,Axis Bank Ltd,Success,output/reports/AXISBANK_tearsheet.pdf,
BAJAJ-AUTO,Bajaj Auto Ltd,Success,output/reports/BAJAJ-AUTO_tearsheet.pdf,
BAJFINANCE,Bajaj Finance Ltd,Success,output/reports/BAJFINANCE_tearsheet.pdf,
BAJAJFINSV,Bajaj Finserv Ltd,Success,output/reports/BAJAJFINSV_tearsheet.pdf,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Success,output/reports/BAJAJHLDNG_tearsheet.pdf,
BANKBARODA,Bank of Baroda,Success,output/reports/BANKBARODA_tearsheet.pdf,
BEL,Bharat Electronics Ltd,Success,output/reports/BEL_tearsheet.pdf,
BHEL,"Bharat Heavy Electricals Limited
",Success,output/reports/BHEL_tearsheet.pdf,
BPCL,Bharat Petroleum Corporation Ltd,Success,output/reports/BPCL_tearsheet.pdf,
BHARTIARTL,Bharti Airtel Ltd,Success,output/reports/BHARTIARTL_tearsheet.pdf,
